date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (Â°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
1/17/2022,79,75,80,96,90,74,70,80,24630,28080,3450,5370,13470,5790,96,88,1530,14670,2022-01-16T23:33:32.000-05:00,2022-01-17T07:21:32.000-05:00,56.16,47,55,-0.22,0.19,12.125,65,55,78,25,40,91,93,2125,1951,1439,43020,32940,4680,420,0,5340,1.1875,2,83,82,72,91,96,98,82,76,100
1/18/2022,77,74,59,100,83,71,67,95,24480,28920,4440,3930,11460,9090,109,85,180,14370,2022-01-17T23:08:17.000-05:00,2022-01-18T07:10:17.000-05:00,52.64,43,67,0.41,0.23,11.875,72,59,60,43,71,96,537,2642,7826,9287,39840,28740,10920,3360,480,3060,1.5,3,70,77,72,94,99,70,62,77,58
1/19/2022,84,76,90,98,93,74,86,100,24960,28140,3180,5970,11670,7320,127,89,1200,14430,2022-01-18T22:44:40.000-05:00,2022-01-19T06:33:40.000-05:00,55.4,48,58,0.08,0.27,12.875,77,61,78,43,96,97,423,2557,7665,6872,40260,25800,12480,1380,960,5520,1.4375,2,83,95,74,71,93,98,87,73,97
1/20/2022,76,66,54,98,98,75,64,100,22680,24300,1620,3630,11850,7200,127,93,120,12180,2022-01-19T23:35:40.000-05:00,2022-01-20T06:20:40.000-05:00,57.2,48,52,0.23,0.33,12.5,75,54,78,43,96,96,171,2251,3968,3019,43500,29040,8820,540,0,4500,1.28125,2,74,74,73,69,90,85,92,68,50
1/21/2022,80,71,46,100,90,76,94,100,22800,25320,2520,3090,10320,9390,111,90,990,13050,2022-01-20T23:14:53.000-05:00,2022-01-21T06:16:53.000-05:00,60.89,51,55,0.2,0.32,11.875,76,46,95,43,96,95,173,2292,3986,2775,46260,24240,10920,300,0,4680,1.3125,1,77,85,73,91,93,87,100,65,26
1/22/2022,75,75,33,100,83,76,81,76,24750,29280,4530,2250,13110,9390,174,85,480,15060,2022-01-21T23:34:46.000-05:00,2022-01-22T07:42:46.000-05:00,49.95,43,78,-0.27,0.15,12.25,86,75,100,60,100,97,696,2843,10789,12068,32940,26580,16380,3240,1260,6000,1.59375,0,76,72,75,88,96,96,68,73,71
1/23/2022,68,60,9,100,99,76,81,64,21000,22320,1320,600,7830,12570,139,94,510,11220,2022-01-23T01:04:04.000-05:00,2022-01-23T07:16:04.000-05:00,55.74,48,62,-0.45,-0.11,12.375,87,82,100,60,100,98,711,2830,17652,13917,29580,31080,15660,6480,60,3540,1.59375,0,67,55,71,60,84,89,85,73,33
1/24/2022,71,57,36,100,96,73,70,93,18510,19980,1470,2370,7620,8520,130,93,270,9870,2022-01-24T00:13:58.000-05:00,2022-01-24T05:46:58.000-05:00,63.26,54,54,-0.02,-0.12,12,81,51,95,60,100,97,235,2337,5352,4197,44880,26700,10860,1020,0,2940,1.3125,1,70,63,67,79,72,100,81,84,39
1/25/2022,68,46,46,96,90,77,75,100,17670,19980,2310,3090,8610,5970,78,88,360,10350,2022-01-24T23:46:09.000-05:00,2022-01-25T05:19:09.000-05:00,55.6,45,63,0.06,0.04,12.875,75,50,78,43,96,96,290,2462,6474,4887,44160,16500,13200,1500,0,11040,1.40625,2,68,55,61,86,76,100,86,83,27
1/26/2022,70,57,60,99,95,73,75,61,20460,22740,2280,3990,8700,7770,64,90,390,11130,2022-01-26T01:10:12.000-05:00,2022-01-26T07:29:12.000-05:00,51.64,44,61,-0.25,0.03,12.875,77,64,100,43,71,95,215,2337,4783,3606,38520,28920,13260,300,0,5400,1.3125,0,73,60,58,85,78,96,74,82,100
